window_id,window_text,skipped_approvals_delta,emergency_without_CAB_count,after_hours_critical_delta,drift_score_label,root_causes_label,recommended_actions_label
WIN0001,TL approver skipped in 2.57% of changes,2.57,0,0.35,0.1175,,
WIN0002,TL approver skipped in 8.45% of changes | 2 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 0.92%,8.45,2,0.92,0.5538,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0003,TL approver skipped in 12.07% of changes | After-hours approvals for Critical CIs increased by 1.94%,12.07,0,1.94,0.5212,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0004,TL approver skipped in 1.61% of changes | After-hours approvals for Critical CIs increased by 1.14%,1.61,0,1.14,0.0765,,
WIN0005,After-hours approvals for Critical CIs increased by 4.31%,0.25,0,4.31,0.1738,after_hours_approvals,Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0006,TL approver skipped in 1.38% of changes | 2 emergency changes with no CAB note,1.38,2,0.5,0.2903,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0007,TL approver skipped in 3.6% of changes | After-hours approvals for Critical CIs increased by 1.53%,3.6,0,1.53,0.1841,,
WIN0008,TL approver skipped in 3.56% of changes | 2 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.91%,3.56,2,1.91,0.3377,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0009,TL approver skipped in 13.6% of changes | After-hours approvals for Critical CIs increased by 1.45%,13.6,0,1.45,0.5862,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0010,TL approver skipped in 5.26% of changes,5.26,0,0.21,0.2521,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0011,TL approver skipped in 4.99% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 10.08%,4.99,1,10.08,0.6608,emergency_flag_misuse|after_hours_approvals,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0012,TL approver skipped in 0.66% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 11.67%,0.66,1,11.67,0.5791,emergency_flag_misuse|after_hours_approvals,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0013,TL approver skipped in 1.45% of changes | 4 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 4.28%,1.45,4,4.28,0.5536,emergency_flag_misuse|after_hours_approvals,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0014,TL approver skipped in 1.71% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.16%,1.71,1,1.16,0.1879,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0015,TL approver skipped in 5.92% of changes | After-hours approvals for Critical CIs increased by 2.78%,5.92,0,2.78,0.3601,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0016,TL approver skipped in 4.84% of changes | After-hours approvals for Critical CIs increased by 9.38%,4.84,0,9.38,0.5142,after_hours_approvals,Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0017,TL approver skipped in 7.6% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 7.65%,7.6,1,7.65,0.6113,approval_bypass|emergency_flag_misuse|after_hours_approvals,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0018,TL approver skipped in 1.81% of changes | After-hours approvals for Critical CIs increased by 2.47%,1.81,0,2.47,0.2728,,
WIN0019,TL approver skipped in 8.19% of changes | 1 emergency changes with no CAB note,8.19,1,0.11,0.3883,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0020,TL approver skipped in 6.24% of changes,6.24,0,0.22,0.2917,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0021,TL approver skipped in 6.59% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 8.3%,6.59,1,8.3,0.6438,approval_bypass|emergency_flag_misuse|after_hours_approvals,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0022,TL approver skipped in 5.45% of changes | After-hours approvals for Critical CIs increased by 1.65%,5.45,0,1.65,0.2944,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0023,TL approver skipped in 3.02% of changes | 3 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.3%,3.02,3,1.3,0.4388,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
